order_no,order_date,cust_no
243,'17-12-2024',668
244,'17-12-2025',524
245,'01-02-2024',338
246,'11-01-2024',205
247,'12-02-2023',928
248,'30-05-2025',231
249,'01-05-2025',114
250,'23-01-2025',16
251,'04-01-2025',580
252,'08-12-2025',500
253,'18-07-2025',179
254,'01-04-2025',182
255,'03-03-2024',968
256,'19-12-2024',792
257,'01-07-2025',853
258,'13-09-2024',242
259,'19-12-2023',272
260,'19-01-2025',322
261,'05-03-2025',435
262,'13-03-2025',412
263,'02-04-2025',983
264,'03-12-2025',690
265,'15-10-2025',627
266,'13-03-2024',902
267,'18-07-2023',302
268,'10-05-2024',437
269,'14-11-2024',502
270,'22-03-2024',490
271,'13-06-2025',727
272,'24-01-2023',218
273,'03-02-2023',352
274,'11-07-2023',869
275,'26-10-2025',79
276,'18-01-2025',39
277,'16-05-2023',403
278,'10-08-2024',86
279,'31-03-2024',274
280,'12-01-2023',105
281,'16-10-2024',11
282,'19-10-2023',66
283,'26-12-2024',82
284,'06-05-2024',703
285,'11-02-2023',399
286,'26-02-2024',651
287,'18-10-2023',250
288,'12-11-2025',189
289,'04-10-2025',6
290,'03-04-2024',607
291,'17-10-2025',122
292,'18-11-2024',68
293,'31-08-2024',935
294,'31-10-2025',36
295,'05-09-2025',551
296,'12-10-2025',380
297,'29-06-2023',622
298,'24-03-2025',683
299,'25-04-2023',351
300,'22-08-2025',380
301,'04-03-2024',190
302,'22-02-2023',89
303,'03-05-2025',377
304,'06-09-2023',548
305,'19-04-2024',775
306,'24-01-2024',328
307,'22-05-2025',878
308,'04-07-2023',902
309,'12-03-2023',345
310,'19-04-2024',777
311,'14-02-2025',842
312,'09-03-2024',621
313,'05-04-2024',536
314,'02-01-2023',875
315,'23-04-2025',605
316,'02-04-2024',68
317,'24-09-2024',978
318,'08-04-2023',379
319,'07-10-2023',952
320,'21-07-2023',663
321,'10-02-2023',596
322,'11-12-2025',136
323,'23-03-2025',654
324,'20-08-2025',559
325,'12-11-2023',991
326,'13-12-2024',914
327,'24-08-2025',630
328,'13-05-2023',125
329,'12-10-2023',722
330,'07-02-2025',702
331,'24-02-2023',516
332,'22-11-2023',944
333,'09-01-2023',783
334,'26-02-2023',46
335,'20-01-2024',449
336,'03-01-2025',957
337,'15-10-2023',598
338,'20-07-2023',816
339,'07-02-2024',362
340,'11-03-2025',386
341,'02-12-2025',938
342,'15-02-2024',931
343,'17-08-2023',229
344,'17-06-2024',746
345,'29-08-2023',308
346,'17-03-2025',367
347,'13-02-2023',369
348,'20-08-2023',440
349,'06-03-2025',61
350,'01-05-2025',489
351,'05-03-2023',66
352,'19-03-2023',660
353,'27-07-2025',503
354,'20-07-2023',310
355,'08-02-2023',898
356,'04-04-2024',293
357,'25-03-2024',401
358,'28-02-2024',966
359,'07-09-2025',992
360,'02-03-2024',202
361,'05-08-2023',614
362,'30-10-2025',557
363,'24-02-2025',520
364,'18-07-2024',2
365,'10-01-2023',914
366,'18-05-2025',242
367,'02-04-2025',996
368,'11-02-2023',700
369,'04-01-2025',99
370,'23-03-2025',907
371,'14-01-2023',980
372,'10-11-2024',590
373,'22-06-2025',155
374,'09-04-2025',977
375,'07-12-2025',631
376,'05-07-2024',730
377,'19-05-2023',432
378,'24-05-2023',246
379,'23-07-2024',296
380,'28-08-2023',336
381,'17-04-2023',187
382,'11-03-2025',296
383,'25-03-2023',903
384,'09-07-2025',497
385,'31-05-2025',328
386,'13-12-2023',512
387,'19-01-2025',536
388,'01-01-2023',469
389,'21-09-2025',938
390,'19-06-2023',549
391,'10-09-2024',449
392,'21-07-2024',153
393,'15-04-2024',386
394,'10-03-2024',774
395,'08-01-2024',348
396,'07-10-2024',997
397,'05-04-2025',987
398,'13-06-2024',736
399,'22-01-2023',868
400,'05-01-2024',406
401,'03-02-2024',295
402,'08-06-2024',540
403,'15-10-2025',392
404,'30-11-2024',654
405,'16-07-2025',302
406,'23-04-2025',586
407,'31-01-2024',444
408,'03-06-2023',800
409,'21-08-2023',632
410,'16-07-2023',76
411,'23-12-2023',513
412,'10-09-2024',814
413,'09-10-2025',887
414,'29-11-2024',830
415,'10-06-2024',384
416,'15-09-2024',582
417,'07-11-2025',355
418,'12-04-2025',257
419,'24-08-2025',763
420,'11-02-2023',261
421,'10-10-2024',967
422,'11-06-2024',467
423,'20-07-2025',772
424,'02-03-2024',968
425,'02-03-2025',132
426,'13-05-2023',45
427,'30-08-2025',214
428,'08-04-2024',650
429,'18-10-2025',477
430,'05-08-2023',759
431,'05-07-2023',370
432,'13-06-2024',137
433,'09-10-2023',606
434,'13-12-2023',980
435,'15-03-2023',286
436,'25-10-2023',606
437,'28-05-2025',842
438,'11-02-2023',829
439,'20-09-2024',780
440,'21-11-2024',281
441,'01-06-2025',912
442,'23-05-2025',571
443,'11-06-2023',811
444,'14-10-2024',5
445,'24-10-2025',606
446,'02-02-2024',276
447,'25-11-2025',209
448,'04-11-2025',479
449,'27-07-2025',984
450,'26-11-2024',359
451,'25-11-2023',312
452,'22-10-2025',249
453,'07-04-2023',241
454,'10-04-2024',196
455,'28-12-2023',628
456,'30-10-2023',473
457,'14-06-2024',568
458,'13-05-2024',738
459,'25-03-2024',369
460,'02-09-2025',390
461,'26-06-2023',593
462,'27-07-2024',268
463,'24-11-2025',799
464,'09-11-2025',47
465,'16-11-2023',409
466,'15-03-2023',254
467,'16-08-2023',293
468,'17-03-2024',577
469,'01-11-2025',332
470,'07-08-2025',8
471,'11-02-2024',804
472,'13-04-2025',161
473,'15-03-2025',67
474,'29-08-2023',863
475,'31-01-2023',150
476,'06-06-2024',731
477,'23-09-2023',390
478,'29-10-2024',327
479,'01-12-2024',275
480,'24-07-2024',446
481,'14-03-2023',16
482,'05-05-2024',682
483,'17-11-2024',170
484,'18-06-2024',626
485,'08-01-2024',250
486,'04-05-2024',185
487,'29-10-2025',346
488,'27-08-2024',786
489,'30-05-2025',841
490,'20-04-2024',773
491,'23-05-2025',779
492,'06-10-2023',707
493,'04-12-2025',497
494,'23-10-2025',940
495,'10-07-2024',666
496,'20-08-2024',558
497,'05-05-2025',536
498,'30-11-2025',931
499,'05-09-2023',914
500,'13-04-2023',400
501,'22-02-2025',23
502,'11-01-2023',743
503,'11-04-2023',868
504,'01-12-2025',684
505,'30-08-2025',225
506,'12-09-2025',171
507,'22-04-2025',144
508,'02-07-2024',53
509,'19-01-2024',455
510,'08-01-2023',662
511,'27-08-2025',735
512,'16-04-2024',363
513,'14-08-2023',992
514,'27-04-2024',801
515,'27-02-2025',620
516,'12-05-2025',358
517,'14-06-2025',566
518,'02-07-2023',580
519,'15-08-2023',286
520,'22-10-2024',758
521,'26-05-2024',461
522,'08-03-2024',172
523,'24-08-2024',981
524,'15-12-2023',878
525,'29-07-2024',989
526,'22-03-2025',301
527,'03-07-2025',923
528,'31-03-2025',891
529,'05-06-2025',432
530,'24-09-2025',858
531,'13-03-2024',733
532,'09-01-2024',687
533,'15-01-2024',458
534,'23-07-2024',307
535,'22-10-2025',325
536,'11-12-2025',736
537,'04-11-2023',933
538,'14-04-2023',830
539,'27-04-2024',67
540,'14-10-2024',377
541,'09-08-2025',416
542,'26-03-2023',123
543,'04-08-2024',302
544,'24-12-2024',346
545,'12-05-2024',197
546,'29-10-2025',934
547,'23-11-2024',222
548,'04-02-2024',121
549,'09-03-2024',695
550,'02-05-2023',873
551,'07-08-2025',990
552,'02-02-2024',716
553,'02-08-2023',20
554,'25-02-2024',179
555,'11-07-2023',605
556,'21-08-2024',447
557,'30-03-2025',346
558,'15-04-2024',635
559,'22-09-2025',525
560,'06-11-2024',585
561,'21-02-2023',813
562,'02-04-2025',251
563,'04-10-2024',954
564,'25-02-2024',463
565,'23-02-2023',511
566,'22-07-2024',850
567,'12-09-2023',569
568,'25-05-2024',631
569,'24-03-2024',266
570,'14-09-2025',465
571,'25-10-2024',506
572,'12-11-2025',531
573,'12-01-2025',526
574,'08-02-2024',417
575,'14-02-2025',68
576,'07-07-2025',941
577,'16-09-2025',960
578,'24-06-2024',658
579,'24-11-2024',30
580,'02-10-2025',119
581,'23-07-2023',690
582,'09-06-2025',250
583,'25-06-2024',610
584,'12-02-2023',566
585,'18-05-2024',383
586,'13-10-2023',362
587,'11-09-2024',659
588,'07-10-2023',727
589,'07-06-2024',801
590,'25-05-2025',741
591,'24-12-2023',428
592,'27-11-2025',261
593,'01-08-2025',126
594,'30-06-2025',131
595,'15-03-2025',220
596,'11-06-2024',456
597,'19-05-2023',554
598,'12-08-2025',259
599,'01-11-2025',35
600,'23-10-2023',273
601,'11-08-2025',743
602,'14-04-2025',550
603,'09-12-2024',106
604,'20-06-2024',20
605,'31-08-2023',798
606,'04-01-2023',354
607,'29-05-2023',697
608,'28-05-2023',78
609,'30-11-2025',661
610,'27-09-2023',877
611,'21-04-2024',59
612,'14-01-2024',114
613,'25-01-2024',915
614,'09-07-2025',512
615,'16-10-2023',6
616,'10-02-2024',384
617,'26-12-2024',406
618,'03-09-2023',555
619,'26-09-2023',512
620,'30-04-2025',523
621,'10-12-2023',734
622,'08-12-2023',720
623,'26-02-2023',104
624,'05-05-2024',551
625,'21-03-2023',529
626,'13-08-2025',201
627,'03-06-2024',98
628,'16-04-2025',806
629,'24-11-2023',927
630,'24-08-2024',606
631,'11-06-2023',375
632,'16-06-2023',235
633,'25-04-2024',489
634,'23-07-2023',27
635,'09-01-2025',393
636,'20-08-2023',142
637,'19-04-2024',189
638,'26-02-2023',806
639,'19-12-2024',202
640,'22-07-2023',445
641,'28-01-2024',240
642,'28-03-2023',486
643,'05-01-2024',133
644,'30-08-2025',463
645,'22-06-2024',735
646,'11-05-2024',989
647,'01-04-2025',576
648,'16-06-2023',395
649,'26-09-2023',257
650,'12-02-2025',84
651,'27-08-2024',605
652,'02-03-2024',309
653,'03-09-2025',273
654,'29-10-2024',15
655,'14-11-2025',481
656,'21-03-2025',922
657,'24-11-2024',235
658,'12-11-2024',560
659,'30-05-2023',348
660,'29-09-2023',335
661,'30-07-2024',959
662,'22-07-2023',227
663,'10-10-2023',609
664,'02-04-2024',396
665,'24-05-2025',184
666,'11-05-2023',251
667,'02-06-2025',153
668,'18-11-2024',659
669,'02-01-2024',207
670,'16-04-2024',840
671,'06-02-2025',956
672,'25-02-2023',566
673,'03-02-2025',575
674,'11-01-2025',989
675,'02-03-2025',192
676,'13-09-2024',448
677,'08-02-2025',233
678,'07-05-2025',395
679,'07-09-2025',610
680,'07-07-2025',318
681,'31-07-2023',907
682,'23-01-2023',352
683,'26-07-2023',829
684,'08-12-2024',297
685,'17-01-2025',999
686,'20-06-2024',801
687,'07-03-2025',221
688,'07-04-2024',848
689,'09-01-2023',471
690,'25-02-2025',116
691,'29-09-2023',208
692,'22-02-2024',957
693,'19-02-2025',622
694,'04-11-2024',68
695,'08-11-2023',171
696,'15-10-2024',964
697,'23-02-2024',935
698,'23-04-2023',813
699,'30-11-2024',408
700,'08-10-2023',990
701,'15-10-2023',111
702,'15-10-2023',706
703,'02-04-2024',512
704,'15-05-2024',121
705,'08-05-2025',605
706,'15-09-2024',412
707,'03-06-2024',962
708,'26-08-2023',623
709,'24-04-2023',580
710,'23-11-2025',512
711,'23-01-2025',598
712,'11-01-2024',248
713,'09-05-2024',129
714,'02-06-2024',805
715,'26-01-2023',427
716,'03-08-2023',4
717,'24-05-2023',17
718,'29-12-2024',40
719,'08-12-2023',319
720,'03-06-2024',697
721,'14-10-2024',990
722,'31-03-2024',170
723,'25-10-2025',703
724,'30-09-2023',490
725,'31-10-2025',515
726,'19-10-2023',276
727,'08-10-2024',849
728,'14-03-2023',880
729,'17-02-2024',836
730,'17-03-2025',193
731,'08-12-2024',29
732,'06-11-2023',982
733,'23-05-2024',111
734,'12-08-2024',995
735,'15-09-2024',726
736,'25-06-2023',298
737,'05-09-2025',104
738,'25-11-2023',230
739,'24-10-2024',656
740,'28-05-2024',756
741,'12-08-2025',622
742,'22-08-2025',566
743,'27-01-2023',328
744,'26-01-2025',431
745,'28-07-2024',110
746,'13-08-2024',858
747,'07-05-2023',253
748,'16-11-2023',896
749,'27-04-2024',737
750,'09-04-2024',351
751,'04-09-2023',766
752,'01-12-2025',318
753,'05-01-2023',167
754,'29-05-2025',16
755,'20-06-2025',622
756,'23-06-2024',959
757,'04-05-2023',780
758,'06-11-2024',262
759,'11-09-2024',859
760,'19-04-2025',360
761,'26-03-2025',226
762,'19-08-2023',500
763,'13-07-2023',454
764,'27-02-2023',290
765,'10-02-2024',823
766,'17-05-2024',545
767,'08-02-2024',219
768,'29-09-2024',320
769,'18-03-2025',34
770,'03-01-2025',844
771,'13-09-2025',252
772,'22-04-2024',84
773,'27-10-2025',532
774,'05-10-2023',410
775,'17-04-2025',250
776,'22-07-2023',688
777,'11-06-2024',38
778,'18-06-2024',131
779,'03-06-2025',919
780,'16-03-2024',565
781,'04-12-2024',888
782,'11-06-2025',376
783,'28-08-2024',985
784,'03-12-2024',158
785,'17-01-2023',781
786,'11-05-2023',160
787,'10-03-2023',48
788,'14-04-2024',524
789,'22-09-2024',861
790,'27-02-2025',872
791,'29-09-2023',441
792,'12-06-2024',451
793,'25-10-2025',560
794,'03-02-2025',805
795,'12-05-2023',81
796,'30-01-2025',615
797,'23-05-2023',250
798,'14-09-2025',545
799,'26-08-2023',94
800,'19-06-2024',235
801,'19-08-2023',128
802,'04-10-2025',537
803,'20-07-2023',772
804,'15-10-2024',742
805,'12-10-2025',822
806,'08-08-2025',600
807,'26-06-2023',516
808,'13-05-2024',978
809,'09-01-2025',493
810,'05-01-2025',839
811,'17-07-2023',226
812,'18-01-2025',704
813,'14-10-2025',565
814,'16-01-2025',929
815,'14-09-2024',379
816,'18-02-2025',565
817,'22-12-2025',347
818,'01-02-2025',868
819,'04-10-2025',119
820,'05-04-2025',110
821,'23-02-2025',181
822,'29-05-2024',501
823,'12-09-2024',633
824,'25-11-2024',10
825,'16-06-2025',920
826,'24-11-2024',966
827,'28-01-2025',907
828,'17-06-2023',38
829,'02-03-2023',957
830,'12-07-2025',579
831,'13-08-2023',764
832,'22-10-2024',985
833,'18-06-2023',268
834,'02-05-2023',738
835,'26-01-2023',965
836,'11-11-2025',831
837,'30-05-2025',925
838,'19-07-2024',563
839,'09-08-2025',590
840,'26-09-2024',384
841,'30-08-2024',346
842,'22-01-2025',138
843,'20-11-2025',789
844,'06-06-2024',798
845,'02-11-2024',961
846,'24-07-2025',590
847,'11-06-2023',652
848,'31-10-2025',485
849,'18-02-2023',453
850,'04-03-2025',715
851,'30-03-2024',861
852,'08-04-2023',952
853,'27-05-2024',426
854,'02-11-2024',20
855,'17-02-2025',674
856,'04-09-2023',998
857,'09-11-2024',643
858,'05-05-2025',648
859,'22-03-2024',326
860,'04-04-2023',670
861,'22-10-2024',240
862,'25-11-2024',599
863,'06-02-2023',367
864,'28-10-2024',287
865,'17-01-2023',247
866,'22-02-2024',856
867,'26-08-2024',56
868,'31-12-2024',359
869,'15-08-2024',692
870,'03-04-2024',7
871,'20-01-2025',113
872,'28-02-2023',846
873,'01-09-2024',657
874,'27-12-2025',447
875,'05-02-2025',770
876,'22-12-2023',970
877,'30-11-2023',881
878,'22-02-2023',190
879,'26-06-2025',603
880,'20-05-2024',360
881,'23-03-2024',858
882,'19-07-2025',110
883,'09-07-2025',797
884,'16-08-2025',5
885,'13-04-2025',585
886,'08-07-2023',437
887,'03-06-2023',550
888,'16-06-2024',610
889,'15-04-2024',177
890,'30-04-2025',799
891,'06-07-2024',813
892,'26-08-2023',333
893,'27-01-2025',266
894,'03-04-2023',383
895,'24-01-2023',769
896,'25-03-2024',306
897,'06-04-2024',687
898,'16-12-2025',568
899,'29-10-2025',674
900,'10-10-2023',129
901,'02-06-2025',409
902,'12-06-2023',462
903,'16-07-2025',435
904,'21-07-2024',347
905,'17-12-2023',555
906,'16-10-2023',544
907,'05-02-2025',46
908,'05-10-2025',411
909,'09-09-2025',315
910,'28-02-2024',239
911,'09-12-2024',443
912,'24-02-2024',907
913,'03-04-2025',306
914,'11-11-2023',675
915,'03-09-2025',713
916,'31-01-2023',447
917,'17-12-2025',713
918,'22-10-2024',698
919,'13-03-2025',205
920,'15-06-2023',173
921,'25-06-2024',436
922,'14-10-2023',305
923,'22-05-2025',763
924,'30-11-2025',535
925,'07-04-2023',396
926,'08-02-2023',613
927,'20-05-2025',321
928,'03-09-2025',935
929,'29-04-2024',109
930,'23-08-2024',853
931,'06-03-2023',292
932,'21-04-2023',28
933,'12-08-2024',275
934,'17-10-2024',183
935,'22-08-2023',912
936,'28-07-2024',590
937,'15-02-2023',58
938,'02-06-2025',851
939,'12-12-2024',458
940,'24-08-2024',419
941,'17-10-2025',387
942,'07-09-2025',43
943,'24-05-2024',59
944,'14-09-2025',788
945,'04-05-2023',997
946,'23-12-2024',734
947,'08-04-2024',262
948,'17-10-2024',878
949,'24-01-2023',911
950,'27-06-2025',70
951,'11-08-2023',757
952,'14-12-2025',504
953,'11-01-2024',919
954,'09-04-2025',317
955,'19-07-2025',884
956,'10-09-2023',556
957,'04-06-2023',397
958,'08-06-2023',432
959,'12-07-2023',489
960,'04-09-2023',536
961,'23-05-2023',489
962,'13-10-2024',537
963,'23-10-2024',625
964,'21-02-2024',239
965,'07-12-2025',623
966,'12-07-2024',407
967,'12-05-2024',480
968,'23-07-2024',576
969,'09-11-2025',603
970,'03-09-2025',972
971,'11-07-2024',717
972,'31-07-2024',341
973,'21-02-2024',869
974,'22-10-2023',446
975,'08-04-2024',828
976,'14-09-2023',383
977,'01-06-2024',624
978,'16-10-2025',759
979,'02-11-2023',519
980,'22-08-2025',254
981,'13-07-2023',612
982,'08-12-2024',567
983,'02-01-2025',962
984,'01-05-2023',597
985,'12-02-2025',157
986,'02-10-2023',802
987,'19-06-2023',783
988,'26-01-2023',815
989,'19-01-2025',456
990,'01-05-2024',485
991,'24-06-2024',528
992,'06-09-2023',145
993,'12-05-2025',459
994,'23-02-2023',652
995,'10-01-2024',982
996,'08-08-2025',491
997,'20-10-2023',610
998,'27-05-2023',579
999,'08-05-2024',455
1000,'18-07-2024',178
1001,'17-12-2023',1000
1002,'02-06-2025',518
1003,'16-07-2025',796
1004,'17-05-2024',770
1005,'26-06-2025',603
1006,'29-09-2024',487
1007,'17-03-2024',400
1008,'22-04-2023',889
1009,'18-01-2025',139
1010,'10-03-2024',657
1011,'29-08-2023',31
1012,'03-05-2024',120
1013,'06-11-2025',486
1014,'11-09-2023',798
1015,'02-05-2023',343
1016,'15-12-2024',157
1017,'06-03-2024',434
1018,'23-08-2025',74
1019,'04-09-2025',701
1020,'06-06-2025',463
1021,'28-10-2025',553
1022,'13-04-2023',424
1023,'10-10-2023',688
1024,'31-05-2023',292
1025,'12-03-2025',317
1026,'05-01-2024',754
1027,'22-07-2023',806
1028,'12-03-2025',802
1029,'26-05-2024',645
1030,'06-08-2024',411
1031,'19-08-2024',124
1032,'03-11-2023',105
1033,'25-10-2023',351
1034,'12-02-2025',268
1035,'25-04-2025',233
1036,'24-06-2025',143
1037,'03-09-2024',312
1038,'23-05-2023',146
1039,'01-07-2025',953
1040,'21-04-2024',813
1041,'17-08-2025',267
1042,'01-04-2023',485
1043,'14-07-2024',556
1044,'09-10-2024',791
1045,'22-08-2024',165
1046,'24-11-2023',844
1047,'22-12-2023',517
1048,'05-05-2024',986
1049,'22-08-2025',809
1050,'30-06-2024',916
1051,'26-03-2023',780
1052,'18-11-2025',903
1053,'12-01-2023',337
1054,'27-12-2025',689
1055,'27-10-2025',847
1056,'22-12-2023',462
1057,'30-04-2024',516
1058,'04-12-2023',818
1059,'07-07-2024',125
1060,'19-11-2025',327
1061,'26-04-2024',863
1062,'30-12-2023',922
1063,'03-01-2023',454
1064,'09-02-2024',973
1065,'08-05-2023',359
1066,'01-06-2023',683
1067,'03-04-2025',705
1068,'23-09-2024',451
1069,'22-11-2023',609
1070,'31-03-2023',66
1071,'22-09-2025',307
1072,'14-03-2025',482
1073,'11-07-2023',906
1074,'07-02-2024',367
1075,'05-01-2023',632
1076,'07-01-2024',862
1077,'19-09-2023',45
1078,'04-10-2024',691
1079,'01-09-2025',429
1080,'19-09-2024',164
1081,'08-11-2025',408
1082,'03-06-2025',422
1083,'30-09-2025',533
1084,'23-07-2024',163
1085,'11-07-2025',796
1086,'26-09-2024',798
1087,'09-10-2025',19
1088,'17-05-2024',614
1089,'07-01-2025',935
1090,'09-11-2024',325
1091,'29-07-2023',849
1092,'12-10-2025',927
1093,'17-12-2025',359
1094,'25-06-2024',432
1095,'07-06-2023',146
1096,'18-03-2024',225
1097,'25-12-2023',176
1098,'11-01-2025',737
1099,'30-07-2025',24
1100,'31-05-2023',785
1101,'08-06-2025',886
1102,'27-01-2024',624
1103,'06-11-2025',497
1104,'25-10-2024',656
1105,'15-01-2025',157
1106,'11-05-2024',430
1107,'12-01-2023',159
1108,'23-10-2025',683
1109,'06-06-2023',880
1110,'23-08-2024',397
1111,'16-07-2025',363
1112,'15-04-2024',167
1113,'02-03-2023',442
1114,'14-02-2024',135
1115,'19-02-2024',60
1116,'02-09-2025',464
1117,'30-12-2024',612
1118,'04-02-2024',212
1119,'20-03-2024',480
1120,'14-09-2023',948
1121,'27-03-2025',969
1122,'04-11-2023',477
1123,'15-09-2024',640
1124,'16-12-2023',847
1125,'05-05-2024',74
1126,'28-03-2024',277
1127,'02-07-2023',347
1128,'11-08-2024',686
1129,'06-01-2025',361
1130,'05-07-2025',320
1131,'18-05-2024',973
1132,'15-02-2023',732
1133,'15-07-2023',69
1134,'18-07-2025',8
1135,'11-02-2025',239
1136,'07-06-2024',280
1137,'13-10-2024',335
1138,'17-05-2025',555
1139,'30-06-2025',127
1140,'25-04-2025',752
1141,'10-11-2024',647
1142,'13-12-2024',321
1143,'22-10-2024',782
1144,'28-01-2025',488
1145,'11-12-2024',152
1146,'19-03-2025',493
1147,'16-05-2025',617
1148,'22-10-2024',580
1149,'15-07-2024',108
1150,'29-07-2024',60
1151,'27-05-2025',289
1152,'05-06-2025',170
1153,'01-11-2024',957
1154,'23-01-2023',388
1155,'09-07-2023',805
1156,'10-01-2025',191
1157,'13-04-2025',923
1158,'10-05-2025',164
1159,'01-11-2024',497
1160,'03-02-2025',379
1161,'05-12-2023',322
1162,'21-03-2024',568
1163,'22-03-2025',598
1164,'29-02-2024',211
1165,'10-09-2023',460
1166,'26-11-2023',459
1167,'22-08-2024',327
1168,'28-02-2024',405
1169,'09-06-2025',431
1170,'28-11-2023',141
1171,'21-10-2025',174
1172,'05-09-2023',728
1173,'19-12-2023',150
1174,'09-11-2024',31
1175,'17-12-2024',306
1176,'24-07-2023',77
1177,'12-03-2024',865
1178,'14-01-2024',834
1179,'19-07-2023',708
1180,'22-07-2025',525
1181,'26-08-2024',389
1182,'04-11-2025',285
1183,'12-06-2024',438
1184,'28-05-2025',512
1185,'11-11-2025',132
1186,'11-02-2025',936
1187,'24-11-2023',425
1188,'23-05-2024',586
1189,'13-07-2023',437
1190,'28-10-2023',266
1191,'02-11-2023',367
1192,'12-05-2024',715
1193,'25-11-2025',661
1194,'18-02-2025',53
1195,'28-09-2023',850
1196,'15-02-2024',78
1197,'08-11-2025',621
1198,'28-06-2023',766
1199,'01-07-2025',121
1200,'06-04-2023',105
1201,'15-04-2023',708
1202,'01-11-2023',737
1203,'28-07-2025',129
1204,'26-10-2023',524
1205,'28-03-2023',421
1206,'17-09-2025',492
1207,'23-01-2024',745
1208,'05-08-2023',947
1209,'27-02-2024',326
1210,'17-09-2023',137
1211,'30-09-2025',867
1212,'26-09-2024',402
1213,'31-10-2023',379
1214,'31-01-2023',916
1215,'06-11-2024',681
1216,'26-07-2025',957
1217,'02-12-2024',547
1218,'28-12-2024',509
1219,'02-10-2025',920
1220,'04-07-2025',563
1221,'20-09-2025',107
1222,'23-04-2025',318
1223,'14-01-2024',218
1224,'03-06-2025',235
1225,'23-02-2025',164
1226,'03-10-2023',396
1227,'11-09-2025',345
1228,'28-10-2024',176
1229,'07-06-2023',181
1230,'27-07-2023',708
1231,'30-03-2025',513
1232,'07-08-2024',845
1233,'31-10-2023',582
1234,'06-10-2023',546
1235,'20-02-2025',743
1236,'11-12-2023',860
1237,'19-05-2025',806
1238,'08-04-2024',316
1239,'14-02-2025',912
1240,'12-03-2025',917
1241,'16-10-2024',545
1242,'27-05-2025',94
1243,'02-05-2025',712
1244,'17-09-2025',910
