order_no,prod_code,order_qty,order_price
204,1076,60,36.95
204,1047,36,33.4
205,1069,68,32.19
205,1031,110,44.18
206,1094,215,12.24
206,1068,39,28.28
206,1056,38,26.23
207,1087,90,44.97
207,1043,34,5.51
207,1022,31,8.68
207,1011,75,43.43
208,1062,222,30.17
209,1037,230,29.2
209,1039,58,22.17
209,1093,193,33.49
210,1030,23,38.96
210,1097,143,16.79
211,1090,185,28.21
211,1041,39,42.37
211,1009,94,6.37
211,1020,182,9.68
211,1058,155,6.16
212,1022,189,8.68
212,1013,116,38.15
212,1061,168,11.23
212,1097,157,16.79
212,1019,43,44.68
213,1023,224,5.16
213,1086,217,37.71
213,1051,22,10.64
213,1055,32,10.62
214,1033,92,40.15
215,1042,161,24.32
215,1066,125,12.77
215,1017,157,41.34
215,1084,64,30.52
215,1034,220,23.56
216,1072,167,40.0
216,1038,147,13.88
217,1048,43,14.85
218,1011,24,43.43
219,1042,179,24.32
219,1021,231,31.35
219,1033,41,40.15
219,1050,242,7.66
219,1066,237,12.77
220,1071,162,10.24
221,1094,43,13.56
221,1019,112,44.68
222,1001,59,12.6
222,1082,247,33.79
222,1041,128,36.84
222,1014,32,36.36
223,1084,150,30.52
223,1079,241,15.96
224,1081,224,11.2
224,1100,29,25.9
224,1040,174,32.55
224,1001,25,13.64
225,1020,121,9.68
225,1061,117,11.23
225,1015,118,30.87
225,1004,87,12.0
225,1081,177,11.2
226,1020,155,9.68
226,1098,220,37.71
227,1019,211,44.68
227,1055,85,10.62
228,1031,139,44.18
228,1026,200,10.82
228,1006,184,20.98
228,1010,32,9.91
228,1014,173,36.36
229,1057,114,36.06
229,1011,245,35.31
229,1083,124,7.16
230,1004,196,12.0
230,1080,167,22.84
230,1021,182,35.44
230,1099,236,8.18
230,1098,22,43.36
231,1073,115,17.87
231,1032,129,36.52
231,1082,109,33.79
231,1006,30,20.98
232,1062,11,32.58
232,1088,139,40.13
233,1050,222,7.66
233,1046,128,14.63
233,1100,248,25.9
233,1056,84,26.23
233,1097,192,16.79
234,1059,50,44.99
234,1090,164,28.21
234,1089,41,30.08
234,1053,35,31.34
235,1046,44,14.63
236,1034,124,23.56
236,1033,106,40.15
236,1087,157,44.97
236,1013,73,38.15
236,1065,185,34.31
237,1009,37,6.37
237,1035,66,9.51
238,1011,228,43.43
238,1086,214,43.45
238,1039,119,21.39
238,1021,57,35.44
239,1008,26,24.79
239,1016,131,30.9
239,1068,95,25.42
239,1040,205,32.55
239,1093,117,31.59
240,1020,158,8.71
240,1028,12,32.0
240,1006,131,19.05
240,1026,139,10.82
240,1030,43,38.96
241,1098,81,43.36
242,1019,10,44.68
242,1084,177,30.52
242,1002,121,20.0
242,1013,58,38.15
242,1030,220,38.96
243,1091,65,19.93
243,1079,175,14.4
243,1080,60,22.84
244,1021,35,35.44
244,1078,236,26.78
244,1097,51,16.79
244,1010,142,9.91
245,1083,72,7.16
245,1006,64,20.98
245,1073,168,17.87
245,1071,57,10.24
246,1099,209,6.89
246,1016,25,36.91
246,1012,108,34.7
247,1033,171,40.15
248,1066,22,10.98
248,1069,23,32.19
248,1096,41,9.13
248,1076,95,39.41
249,1045,163,26.23
249,1008,75,24.79
250,1030,68,38.96
250,1022,211,8.68
250,1084,153,30.52
251,1051,168,10.64
251,1091,82,19.93
251,1030,175,38.96
251,1018,59,40.55
251,1034,32,23.56
252,1091,20,19.93
252,1069,139,32.19
252,1025,125,14.15
252,1028,193,32.0
253,1009,91,6.37
253,1060,241,41.78
253,1066,203,12.77
253,1017,215,41.34
254,1080,154,22.84
254,1088,21,40.13
254,1097,22,16.79
255,1083,240,7.16
255,1011,194,43.43
255,1063,36,10.82
255,1022,250,7.53
256,1027,24,44.39
256,1011,240,40.64
256,1066,143,12.77
256,1024,117,9.32
257,1045,197,26.23
257,1050,147,7.66
257,1099,117,8.18
257,1015,29,30.87
258,1082,32,33.79
259,1098,34,43.36
259,1044,231,33.29
259,1036,52,22.32
259,1085,194,24.91
259,1030,12,38.96
260,1096,178,9.13
260,1003,48,9.18
260,1097,212,16.79
260,1055,107,10.62
261,1009,156,6.37
261,1072,48,37.66
261,1087,62,38.91
261,1063,151,10.82
261,1070,232,9.39
262,1067,250,29.2
262,1072,141,40.0
262,1085,213,24.91
262,1003,37,10.0
263,1050,97,7.66
263,1002,201,20.0
263,1075,66,29.9
263,1013,78,38.15
264,1028,232,32.0
265,1085,161,24.91
265,1069,65,32.19
266,1009,42,6.37
266,1100,246,25.9
266,1085,162,24.91
267,1020,121,9.68
267,1086,93,43.45
267,1004,201,12.0
267,1088,124,40.13
267,1021,212,35.44
268,1045,54,26.23
268,1080,246,22.84
268,1073,89,15.47
268,1012,150,34.7
269,1023,30,5.16
269,1047,20,33.4
269,1096,220,9.13
269,1045,146,26.23
269,1070,48,9.31
270,1003,214,10.0
271,1047,229,33.4
272,1085,242,24.91
272,1026,237,10.82
272,1027,30,44.39
273,1069,243,26.99
274,1062,18,32.58
274,1064,122,38.32
275,1045,216,26.23
275,1010,14,9.91
275,1015,98,30.87
275,1082,217,33.79
276,1026,187,10.82
276,1084,190,30.52
276,1033,141,40.15
276,1037,26,29.2
277,1034,197,23.56
277,1057,205,36.06
278,1001,151,15.0
278,1015,72,30.87
278,1097,245,16.79
278,1057,153,36.06
278,1041,74,42.37
279,1028,11,32.0
279,1065,190,34.31
280,1045,200,23.21
280,1039,60,24.66
280,1016,112,36.91
281,1028,81,32.0
282,1082,146,33.79
282,1030,82,32.4
282,1016,88,36.91
282,1034,54,23.56
283,1049,49,28.92
283,1071,22,10.24
283,1055,194,10.62
283,1020,161,9.68
283,1083,183,7.16
284,1022,58,8.68
284,1040,141,32.55
284,1047,241,33.4
284,1070,42,11.57
284,1028,43,32.0
285,1021,86,35.44
285,1018,114,40.55
286,1028,210,32.0
286,1095,108,28.95
286,1007,205,28.42
286,1001,183,15.0
287,1049,67,35.73
287,1063,62,10.82
287,1079,185,15.96
287,1096,35,9.13
288,1057,54,36.06
288,1081,145,11.2
288,1074,61,13.47
288,1076,197,42.29
288,1002,114,20.0
289,1042,49,24.32
289,1095,216,28.95
289,1061,239,11.23
290,1033,237,40.15
290,1098,70,43.36
291,1094,243,13.56
291,1035,113,11.31
291,1025,100,14.15
291,1062,103,32.58
292,1076,68,42.29
292,1009,97,6.37
292,1001,200,15.0
293,1077,200,18.06
293,1014,151,36.36
293,1003,16,10.0
293,1044,42,29.43
293,1092,94,40.62
294,1016,83,36.91
294,1046,103,14.63
294,1051,133,10.64
294,1074,106,13.47
294,1003,58,9.34
295,1082,175,33.79
295,1074,162,13.47
296,1052,233,18.87
296,1071,165,10.24
296,1033,197,40.15
296,1049,15,35.73
297,1081,156,11.2
297,1047,84,33.4
298,1025,234,14.15
298,1043,47,6.02
299,1079,169,15.96
299,1050,216,7.66
299,1011,113,43.43
299,1075,124,35.08
300,1001,129,15.0
300,1081,203,11.2
301,1019,70,44.68
301,1067,199,29.2
301,1007,33,24.81
301,1058,216,6.16
301,1054,225,6.19
302,1017,194,41.34
302,1090,72,26.43
302,1026,97,10.82
303,1015,186,30.87
304,1006,62,20.98
304,1046,149,12.23
304,1069,100,32.19
305,1086,12,43.45
305,1056,113,26.23
306,1026,197,10.82
306,1013,46,38.15
306,1021,10,35.44
307,1087,68,44.97
307,1031,31,44.18
307,1047,172,31.58
308,1065,222,34.31
309,1006,13,20.98
309,1022,175,8.68
309,1060,138,41.78
309,1053,168,31.34
309,1093,93,33.49
310,1042,135,24.32
310,1009,72,6.37
310,1061,66,11.23
311,1056,195,26.23
311,1058,165,6.16
311,1018,180,40.55
311,1060,119,34.96
311,1031,217,44.18
312,1017,209,39.18
312,1091,54,19.93
312,1100,166,25.9
313,1019,146,44.68
313,1059,103,44.99
313,1049,118,35.73
313,1025,49,14.15
314,1014,203,36.36
315,1010,202,9.91
315,1062,169,32.58
315,1052,19,18.87
315,1009,110,6.37
315,1033,196,40.15
316,1061,156,11.23
317,1029,118,10.19
317,1041,126,42.37
317,1032,11,31.0
318,1035,101,11.31
319,1074,186,13.47
319,1094,63,13.56
319,1067,187,24.78
319,1090,62,26.36
319,1099,142,8.18
320,1038,245,13.88
320,1037,225,26.87
320,1042,49,24.32
320,1067,145,29.2
320,1056,217,21.89
321,1024,240,9.32
321,1073,14,17.87
321,1026,62,10.82
321,1034,243,23.56
321,1051,80,10.64
322,1096,207,9.13
322,1045,34,26.23
322,1024,100,9.32
323,1001,236,15.0
323,1041,177,42.37
323,1079,135,15.96
323,1003,126,10.0
324,1097,11,16.79
324,1002,204,16.26
324,1062,163,32.58
325,1085,214,24.91
326,1098,99,43.36
326,1029,227,10.19
326,1017,225,41.34
326,1073,213,17.87
327,1033,59,40.15
327,1029,158,9.42
327,1098,87,35.77
327,1076,90,42.29
328,1067,121,29.2
329,1023,25,4.6
330,1015,30,30.87
331,1022,144,8.68
331,1073,100,17.87
332,1086,66,43.45
332,1013,53,38.15
332,1041,53,42.37
333,1073,239,14.52
334,1088,34,40.13
334,1068,162,28.28
334,1009,42,6.37
335,1026,123,10.82
335,1067,229,29.2
335,1056,246,26.23
335,1063,248,10.82
335,1087,221,37.19
336,1053,162,31.34
337,1090,155,28.21
337,1015,63,30.87
337,1004,167,12.0
338,1038,53,13.88
338,1088,141,40.13
338,1081,116,11.2
339,1027,242,44.39
340,1042,213,24.32
340,1024,215,9.32
340,1100,176,25.9
341,1035,194,11.31
342,1062,66,32.58
342,1015,250,27.49
343,1004,236,12.0
343,1072,167,40.0
343,1052,47,18.87
343,1016,216,36.91
344,1085,120,21.88
344,1078,176,21.81
344,1070,23,11.57
345,1098,192,37.3
345,1018,213,40.55
345,1054,40,6.19
345,1094,164,13.56
346,1025,34,14.15
347,1048,109,14.85
347,1045,13,26.23
347,1095,223,28.95
347,1057,15,36.06
347,1049,94,35.73
348,1078,149,26.78
349,1037,88,29.2
350,1047,78,33.4
350,1035,69,11.31
350,1025,210,14.15
350,1030,146,38.96
350,1018,197,40.55
351,1048,97,14.85
352,1021,187,35.44
353,1074,218,13.47
353,1058,99,6.16
353,1069,119,32.19
353,1059,101,44.99
353,1028,44,26.4
354,1066,227,12.77
354,1059,196,44.99
355,1057,13,36.06
355,1081,178,11.2
356,1009,74,6.37
356,1059,36,44.99
357,1003,227,10.0
357,1020,246,9.68
357,1028,127,26.88
357,1012,186,34.7
358,1099,29,8.18
358,1068,106,25.56
359,1039,66,24.66
359,1092,232,44.98
359,1013,118,38.15
360,1057,86,36.06
361,1074,227,11.98
361,1099,226,8.18
361,1085,121,24.91
361,1015,61,25.42
361,1006,174,20.98
362,1018,190,40.55
362,1006,176,20.98
363,1038,221,12.43
364,1083,158,7.16
364,1011,81,43.43
364,1071,142,10.24
364,1041,203,42.37
365,1089,148,30.08
365,1065,159,34.31
365,1020,83,9.68
365,1048,92,14.85
366,1022,167,8.68
366,1064,117,38.32
366,1004,51,12.0
366,1021,38,35.44
367,1007,112,28.42
367,1077,141,18.06
367,1010,43,9.91
367,1066,237,10.46
367,1042,194,24.32
368,1091,82,18.24
368,1048,80,12.19
368,1082,87,33.79
368,1088,226,40.13
368,1015,212,30.87
369,1070,162,11.57
369,1042,35,24.32
369,1074,169,13.47
370,1006,239,20.98
370,1088,158,40.13
370,1046,99,12.73
370,1098,152,43.36
371,1015,248,30.87
372,1011,171,43.43
372,1041,158,42.37
372,1067,131,29.2
372,1055,11,10.62
373,1060,191,41.78
373,1084,104,28.68
373,1091,150,19.93
373,1058,152,6.16
374,1018,214,40.55
374,1073,53,17.87
374,1026,80,10.82
374,1064,233,38.32
375,1042,206,24.32
375,1051,123,10.64
375,1029,235,10.19
376,1036,235,22.32
376,1070,191,11.57
376,1065,182,31.32
376,1003,142,10.0
376,1054,101,6.19
377,1066,54,12.77
378,1062,115,32.58
378,1001,159,15.0
378,1096,221,9.13
379,1051,238,10.64
379,1034,31,23.56
379,1061,97,10.05
380,1011,246,43.43
380,1053,190,25.87
380,1059,198,38.42
381,1002,199,18.05
381,1049,230,35.73
381,1043,132,6.02
381,1004,109,12.0
381,1067,218,29.2
382,1042,169,24.32
382,1070,46,9.96
382,1016,58,36.91
382,1008,36,24.79
383,1041,85,42.37
383,1068,11,28.28
383,1097,234,16.79
383,1054,168,6.19
383,1011,36,43.43
384,1083,21,7.16
384,1025,154,14.15
384,1024,69,9.32
385,1078,83,26.78
385,1048,211,14.85
385,1056,200,26.23
385,1070,137,11.57
385,1097,197,16.79
386,1027,108,44.39
386,1088,202,40.13
387,1060,12,41.78
387,1007,180,28.42
387,1093,203,33.49
387,1029,132,10.19
387,1034,86,23.56
388,1044,69,30.7
388,1053,94,31.34
388,1016,101,36.91
389,1057,153,36.06
389,1075,105,30.15
389,1032,45,36.52
389,1067,230,24.8
389,1080,154,22.84
390,1066,122,12.77
390,1068,86,28.28
390,1017,11,41.34
390,1022,100,8.68
390,1027,106,44.39
391,1051,208,9.4
391,1059,103,44.99
391,1001,226,15.0
391,1012,97,34.7
392,1061,95,11.23
393,1071,161,10.24
393,1034,29,20.05
393,1077,75,18.06
393,1080,217,22.84
393,1043,248,6.02
394,1073,71,17.87
394,1054,130,6.19
394,1002,34,17.23
395,1046,33,14.63
395,1032,41,36.52
395,1008,87,24.79
396,1090,81,28.21
396,1023,25,5.16
396,1027,220,44.39
397,1010,210,9.91
397,1040,240,32.55
397,1012,162,34.7
397,1069,229,32.19
398,1072,136,40.0
398,1015,195,30.87
398,1029,97,10.19
398,1041,50,42.37
399,1075,189,35.08
400,1089,53,30.08
400,1017,60,41.34
400,1036,85,22.32
401,1072,53,40.0
401,1007,118,28.42
401,1039,185,24.66
402,1001,172,15.0
402,1070,140,11.57
402,1065,130,34.31
402,1052,71,15.62
403,1013,202,38.15
403,1074,183,13.47
403,1032,157,36.52
403,1043,138,6.02
403,1056,41,26.23
404,1009,20,6.37
404,1028,244,32.0
404,1040,17,32.55
404,1043,104,6.02
405,1015,83,30.87
405,1075,72,35.08
406,1035,203,11.31
406,1100,250,25.9
407,1060,151,41.78
408,1036,220,20.12
408,1093,210,33.49
408,1067,183,29.2
408,1078,188,26.78
408,1051,28,10.64
409,1092,224,44.98
409,1042,32,24.32
409,1080,46,22.84
409,1067,238,29.2
409,1034,177,23.56
410,1013,168,38.15
410,1010,194,9.91
411,1049,195,35.73
411,1040,167,32.55
411,1060,18,41.78
412,1077,237,18.06
412,1008,248,24.79
412,1010,34,9.91
412,1006,157,20.98
413,1039,235,24.66
413,1068,26,28.28
413,1015,87,30.87
414,1055,229,10.62
414,1081,75,11.2
414,1069,49,32.19
415,1076,196,42.29
415,1073,34,16.1
415,1005,137,18.0
416,1038,193,12.37
416,1100,176,22.83
416,1066,83,12.77
417,1005,137,18.0
417,1008,55,23.18
417,1030,110,31.51
417,1007,133,28.42
417,1036,11,22.32
418,1067,201,29.2
418,1043,217,6.02
418,1095,191,28.95
418,1011,150,43.43
419,1076,232,42.29
420,1067,33,29.2
420,1100,20,25.9
421,1028,141,32.0
421,1083,33,7.16
421,1093,172,33.49
422,1024,52,9.32
422,1050,43,7.66
423,1089,219,30.08
424,1088,119,40.13
424,1029,241,10.19
424,1068,225,28.28
424,1070,20,11.57
424,1003,250,10.0
425,1045,74,24.5
425,1047,180,33.4
426,1080,245,22.84
426,1033,42,40.15
426,1045,20,26.23
426,1049,173,35.73
427,1088,161,40.13
427,1078,96,23.04
427,1100,138,21.95
427,1052,28,18.87
427,1007,12,28.42
428,1059,124,44.99
429,1034,75,23.56
430,1043,199,6.02
431,1061,21,11.23
431,1058,226,5.57
431,1004,126,12.0
431,1081,24,11.2
431,1088,44,40.13
432,1026,116,10.02
433,1030,86,38.96
433,1061,97,11.23
433,1015,25,30.87
433,1083,66,7.16
434,1045,44,26.23
435,1053,107,31.34
435,1056,63,26.23
436,1059,126,44.99
436,1065,216,32.32
436,1033,171,40.15
436,1077,150,18.06
437,1014,163,36.36
437,1025,22,14.15
437,1099,234,8.18
437,1066,205,12.77
438,1032,102,36.52
438,1050,48,7.66
438,1077,241,18.06
438,1043,17,6.02
438,1072,65,40.0
439,1070,16,11.57
439,1030,247,38.96
440,1054,124,6.19
440,1038,248,13.88
440,1027,131,44.39
440,1014,98,36.36
440,1080,235,21.41
441,1091,247,19.93
441,1002,49,18.04
441,1051,39,10.64
442,1003,62,10.0
442,1071,243,10.24
442,1074,51,13.47
442,1020,28,9.68
442,1078,216,26.78
443,1077,234,15.21
444,1048,13,14.85
444,1071,98,10.24
445,1099,165,8.18
445,1048,125,14.85
446,1017,74,41.34
446,1089,97,30.08
447,1066,216,12.77
447,1013,50,38.15
447,1010,159,9.91
448,1097,38,16.79
448,1040,249,32.55
449,1090,132,28.21
450,1009,152,6.37
450,1073,180,17.87
450,1056,68,21.83
450,1019,44,44.68
451,1001,229,15.0
451,1092,126,40.3
451,1100,174,25.9
451,1002,175,20.0
451,1016,35,36.91
452,1066,139,12.77
452,1038,218,13.88
452,1035,117,11.31
452,1021,88,35.44
453,1041,197,42.37
454,1015,135,30.87
454,1077,34,18.06
454,1014,91,36.36
455,1074,41,13.47
455,1002,170,20.0
456,1038,53,13.88
457,1051,69,10.64
457,1084,131,30.52
457,1007,139,28.42
457,1002,45,18.58
457,1097,19,16.79
458,1079,16,15.96
459,1090,162,28.21
459,1051,170,8.64
459,1100,73,25.9
459,1045,235,26.23
459,1063,12,10.82
460,1011,158,43.43
460,1016,240,36.91
460,1063,174,10.82
460,1077,247,18.06
460,1054,142,6.19
461,1025,174,14.15
461,1012,137,34.7
461,1071,216,8.48
461,1092,28,42.68
461,1081,15,11.2
462,1013,83,31.77
462,1004,38,12.0
462,1035,15,11.31
462,1068,114,28.28
462,1028,188,32.0
463,1094,159,13.56
463,1061,220,11.23
464,1044,128,33.29
465,1017,127,41.34
466,1002,43,20.0
466,1053,62,27.41
466,1031,200,44.18
466,1004,120,12.0
467,1018,243,40.55
468,1044,122,33.29
468,1004,66,12.0
469,1032,97,36.52
469,1055,193,9.92
469,1100,175,25.9
469,1019,189,37.72
469,1039,62,24.66
470,1032,170,36.52
471,1093,97,33.49
471,1065,154,34.31
471,1020,110,9.68
472,1057,67,36.06
473,1011,81,43.43
473,1095,209,28.95
473,1043,87,6.02
473,1099,37,8.18
473,1009,215,6.37
474,1013,28,38.15
474,1031,55,44.18
474,1087,108,37.57
475,1093,203,33.49
476,1071,57,10.24
476,1053,137,26.89
477,1009,184,6.37
477,1057,121,36.06
477,1068,130,28.28
477,1061,49,11.23
477,1020,214,9.68
478,1021,89,35.44
478,1049,77,35.73
478,1024,188,9.32
479,1077,179,18.06
480,1020,130,9.68
480,1061,161,11.23
480,1047,120,33.4
480,1037,142,23.4
480,1065,132,34.31
481,1035,206,11.31
481,1087,110,44.97
481,1020,148,9.68
481,1055,241,9.13
482,1058,83,6.16
482,1050,229,7.15
483,1076,157,42.29
483,1006,73,20.98
483,1096,107,7.6
484,1075,166,35.08
485,1083,226,7.16
485,1018,25,40.55
486,1090,212,25.84
487,1043,107,6.02
487,1003,104,10.0
487,1070,238,11.57
487,1009,132,6.37
488,1094,134,13.56
489,1009,96,6.37
490,1028,133,32.0
490,1070,75,11.57
490,1002,162,20.0
490,1081,28,11.2
490,1087,236,42.5
491,1023,91,5.16
491,1047,207,33.4
491,1009,72,5.69
491,1090,14,28.21
491,1001,101,15.0
492,1043,161,6.02
492,1031,199,44.18
492,1017,236,41.34
492,1020,58,9.68
493,1079,170,15.96
493,1024,24,9.32
493,1010,244,9.91
493,1039,219,24.66
494,1077,28,18.06
494,1091,23,18.59
494,1019,57,37.91
494,1086,249,43.45
495,1091,60,19.93
496,1060,147,39.54
496,1049,188,31.8
497,1074,147,13.47
497,1038,64,13.88
497,1016,30,36.91
497,1046,187,14.63
498,1026,153,10.82
498,1071,210,10.24
498,1096,228,9.13
498,1058,111,6.16
498,1080,159,22.84
499,1065,121,29.67
499,1080,108,22.84
499,1010,192,9.91
499,1029,218,10.19
500,1079,228,13.45
500,1068,28,28.28
500,1022,119,8.68
500,1067,105,29.2
501,1003,29,10.0
502,1020,142,9.68
502,1021,102,35.44
502,1061,96,11.23
503,1071,195,8.98
503,1086,110,43.45
503,1047,78,33.4
503,1036,223,22.32
503,1080,211,22.84
504,1054,180,6.19
504,1051,163,9.87
504,1099,120,8.18
505,1003,219,8.47
505,1001,167,15.0
505,1063,33,10.82
506,1073,68,17.87
507,1093,183,33.49
508,1049,89,35.73
509,1078,184,26.78
509,1006,75,19.14
510,1014,165,36.36
510,1025,135,14.15
510,1032,19,36.52
511,1047,166,33.4
511,1023,120,5.16
511,1015,128,30.87
512,1060,219,41.78
512,1055,186,10.62
512,1086,107,43.45
512,1051,94,10.64
513,1057,186,36.06
513,1003,211,10.0
513,1059,98,44.99
513,1069,162,27.47
514,1057,68,36.06
514,1014,77,36.36
514,1071,249,10.24
514,1082,125,33.79
515,1046,90,14.63
515,1004,77,12.0
515,1091,34,19.93
516,1021,51,35.44
516,1004,150,12.0
516,1049,157,35.73
516,1002,157,20.0
517,1021,192,35.44
517,1004,153,10.53
517,1087,164,44.97
518,1053,35,31.34
518,1036,188,22.32
519,1085,99,24.91
519,1036,140,22.32
